Neighborhood,ZIP Codes,,,,
Central Bronx,10453,,,,
Central Bronx,10457,,,,
Central Bronx,10460,,,,
Bronx Park and Fordham,10458,,,,
Bronx Park and Fordham,10467,,,,
Bronx Park and Fordham,10468,,,,
High Bridge and Morrisania,10451,,,,
High Bridge and Morrisania,10452,,,,
High Bridge and Morrisania,10456,,,,
Hunts Point and Mott Haven,10454,,,,
Hunts Point and Mott Haven,10455,,,,
Hunts Point and Mott Haven,10459,,,,
Hunts Point and Mott Haven,10474,,,,
Kingsbridge and Riverdale,10463,,,,
Kingsbridge and Riverdale,10471,,,,
Northeast Bronx,10466,,,,
Northeast Bronx,10469,,,,
Northeast Bronx,10470,,,,
Northeast Bronx,10475,,,,
Southeast Bronx,10461,,,,
Southeast Bronx,10462,,,,
Southeast Bronx,10464,,,,
Southeast Bronx,"10465,",,,,
Southeast Bronx,10472,,,,
Southeast Bronx,10473,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,